Date,Open,High,Low,Close,Adj Close,Volume
4/17/2019,47.404999,47.615002,46.5975,46.822498,46.504501,35100400
4/18/2019,46.889999,47.232498,46.294998,46.575001,46.258686,38098800
4/22/2019,46.337502,47.275002,46.02,47.1175,46.797493,27993600
4/23/2019,47.25,47.982498,47.1525,47.6675,47.343758,34685600
4/24/2019,47.772499,48.202499,47.16,47.7925,47.467922,31820400
4/25/2019,47.387501,47.612499,45.924999,46.727501,46.410149,49929600
4/26/2019,45.177502,45.2225,43.325001,44.522499,44.220127,86898800
4/29/2019,44.602501,45.112499,43.875,44.8325,44.528023,39192000
4/30/2019,44.5075,45.5075,44.314999,45.25,44.94268,36292000
5/1/2019,45.7775,46.202499,45.115002,45.1175,44.811092,35428000
5/2/2019,45.215,46.217499,44.779999,45.797501,45.486473,39468400
5/3/2019,45.8825,45.982498,45.1325,45.752499,45.44178,33682400
5/6/2019,43.875,45.084999,43.5,44.962502,44.657146,42217600
5/7/2019,44.474998,44.474998,42.7925,43.2775,42.983578,55522000
5/8/2019,43,44.287498,42.880001,43.48,43.184704,41916800
5/9/2019,42.785,42.8825,41.349998,42.547501,42.258549,66024800
5/10/2019,42.237499,42.897499,41,42.205002,41.918362,56950000
5/13/2019,40.875,41.107498,39.452499,39.612499,39.343479,65691200
5/14/2019,40.012501,40.865002,39.622501,40.509998,40.234879,52488000
5/15/2019,39.950001,40.262501,39.352501,39.895,39.624058,50232000
5/16/2019,39.84,40.477501,39.412498,40.047501,39.77552,78108800
5/17/2019,39.625,40.927502,38.735001,39.1325,38.866734,102206800
5/20/2019,38.137501,38.692501,37.6875,37.9375,37.679844,57206400
5/21/2019,38.549999,38.924999,38.16,38.764999,38.50172,36184800
5/22/2019,38.375,38.637501,37.939999,38.049999,37.79158,32586800
5/23/2019,37.422501,37.422501,36.227501,36.830002,36.579868,59184400
5/24/2019,37.02,37.375,36.220001,36.287498,36.041054,35758400
5/28/2019,36.465,36.794998,35.8125,35.8325,35.589138,42835600
5/29/2019,35.352501,35.705002,34.735001,35.084999,34.846714,55980000
5/30/2019,35.077499,35.4375,34.392502,34.7775,34.580734,39430000
5/31/2019,34.285,34.962502,33.8475,33.865002,33.673401,38972000
6/3/2019,33.977501,34.3675,33.150002,33.445,33.255768,47864400
6/4/2019,34.09,35.802502,33.8675,35.75,35.547737,64183600
6/5/2019,36.4925,36.547501,34.955002,35.32,35.120159,51161600
6/6/2019,35.362499,36.192501,35.337502,35.945,35.741638,40814000
6/7/2019,36.005001,36.720001,35.8125,36.375,36.169186,34885600
6/10/2019,36.939999,37.797501,36.939999,37.107498,36.897549,40278000
6/11/2019,37.709999,38.09,37.290001,37.6875,37.47427,38387200
6/12/2019,37.25,37.3125,36.397499,36.549999,36.343208,35889200
6/13/2019,36.772499,37.25,36.595001,37.064999,36.855297,30808000
6/14/2019,36.127499,36.372501,35.709999,36.16,35.955418,39442800
6/17/2019,36.142502,36.630001,35.912498,36.2575,36.052361,27604000
6/18/2019,36.875,38.7775,36.764999,38.220001,38.003761,58192000
6/19/2019,38.575001,38.689999,38.017502,38.279999,38.063419,33164400
6/20/2019,39.192501,39.3325,38.380001,38.525002,38.307034,35016800
6/21/2019,38.375,38.869999,37.875,37.939999,37.725338,43442800
6/24/2019,38.154999,38.462502,37.68,38.165001,37.949066,28294800
6/25/2019,38.215,38.970001,37.842499,37.869999,37.655739,31186800
6/26/2019,39.1525,40.43,39.022499,39.814999,39.589733,58407200
6/27/2019,40.677502,41,40.314999,40.807499,40.576611,44544000
6/28/2019,41.25,41.342499,40.587502,41.057499,40.825199,39766800
7/1/2019,43.142502,43.487499,41.165001,41.5425,41.307457,70975600
7/2/2019,41.375,41.587502,40.424999,40.557499,40.328026,40022800
7/3/2019,40.7925,40.849998,40.084999,40.6875,40.457302,24663600
7/5/2019,40.099998,40.145,39.419998,40.057499,39.83086,39655200
7/8/2019,39.4575,39.647499,39,39.302502,39.080135,32978800
7/9/2019,38.877499,39.610001,38.75,39.327499,39.104992,34286000
7/10/2019,39.764999,40.592499,39.625,40.014999,39.788612,45207600
7/11/2019,40.75,41.98,40.375,41.57,41.334801,68256000
7/12/2019,41.849998,42.6175,41.849998,41.9025,41.665421,50639200
7/15/2019,42.115002,42.2775,41.532501,41.817501,41.58091,28984000
7/16/2019,41.6675,42.0425,41.209999,41.77,41.533672,34144400
7/17/2019,41.787498,42.497501,41.4925,42.427502,42.187443,34820400
7/18/2019,42.532501,43.177502,41.962502,42.544998,42.304287,44219200
7/19/2019,42.93,42.994999,42.049999,42.110001,41.871754,34489600
7/22/2019,42.325001,42.959999,42.25,42.830002,42.587673,31594000
7/23/2019,43.224998,43.935001,43.067501,43.915001,43.666542,42817600
7/24/2019,44.349998,44.7225,43.584999,44.665001,44.412289,36623600
7/25/2019,44.247501,44.375,43.110001,43.345001,43.099766,39270000
7/26/2019,43.6175,44.237499,43.6175,43.767502,43.519863,27416000
7/29/2019,43.695,43.8675,42.817501,43.705002,43.457729,24816000
7/30/2019,43.237499,43.985001,43.092499,43.862499,43.614334,19777200
7/31/2019,43.544998,43.555,41.755001,42.18,41.941349,35941600
8/1/2019,42.285,43.195,40.705002,41.23,40.996727,42121200
